ID	GeoGroup	BerryColour
Teta de vaca (Spain)	IBER	N
Royal	IBER	Rg
Ferral (Spain)	IBER	N
El Farryali	MAGH	N
Jeronimo	IBER	N
Moré	IBER	N
Negra tardía	IBER	N
Negra rayada	IBER	N
Ojo de Buey	IBER	N
Corinthe noir	BALK	N
Bayad (non identified)	nd	B
Negra dorada	IBER	Rg
Torralba	IBER	N
Red Ohanes	BALK	Rg
De cilindro	IBER	B
Cojonata	IBER	B
Conca d'oro (non identified)	ITAP	B
Zeini abiad (Spain)	EMCA	B
Greg	IBER	B
Palote	IBER	B
Callet	IBER	N
Picadillo	IBER	B
Bermejuela	IBER	B
Cainho	IBER	B
Listán del condado	IBER	B
Grand Noir de la Calmette	WCEUR	N
Malvasia volcánica	IBER	B
Pardilla	IBER	B
Juan Garciá	IBER	N
Sabro	IBER	B
Batista	IBER	N
Benedicto falso	IBER	N
Albillo de Grenada	IBER	B
Allarén	IBER	B
Carrasquin	IBER	N
Cuatendrá	IBER	N
Blanquiliña	IBER	B
Albillo de Albacete	IBER	B
Epero de Gall	IBER	N
Murescu	WCEUR	N
Fogoneu	IBER	N
Pansera	IBER	B
Mancens	IBER	N
Gorgollasa	IBER	N
Cañorroyo	IBER	B
Garro	IBER	N
Manses de Tibbus	IBER	N
Doradilla	IBER	B
Miguel de Arco (Spain)	IBER	N
Forastera (Spain)	IBER	B
Mondragón	IBER	N
Gabriella	IBER	B
Morate	IBER	N
Morenillo	IBER	N
Cruixen	IBER	N
Pampolat de Sagunto	IBER	N
Lado	IBER	B
Moscatel de angüés	IBER	B
Perruno	IBER	B
Parduca	IBER	N
Pedral	IBER	N
Quigat	IBER	B
Salvador	IBER	B
Rayada melonera	IBER	N
Rocia	IBER	N
Moll	IBER	B
Nave	MAGH	B
Sabaté	IBER	N
Tarragoni	IBER	N
Señá	IBER	N
Trobat	IBER	N
Verués de Huarte	IBER	N
Vidadillo	IBER	N
Benedicto	IBER	N
Salceño blanco	IBER	B
Tempranilla blanca	IBER	B
Antão Vaz	IBER	B
Arinto	IBER	B
Avesso	IBER	B
Borrado das moscas	IBER	B
Cercial du Dão	IBER	B
Fernão Pires	IBER	B
Folgasão	IBER	B
Trincadeira das pratas	IBER	B
Viosinho	IBER	B
Rufete	IBER	N
Touriga franca	IBER	N
Tinto velasco	IBER	N
Castets	WCEUR	N
